@id;building;name;@lat;@lon
100758005;residential;;51.0632520;17.0317175
100758145;residential;;51.0516115;17.0242475
100758180;residential;;51.0639575;17.0299915
100758191;residential;;51.0482544;17.0505218
100758283;residential;;51.0689545;17.0368325
100758341;residential;;51.0676155;17.0330855
100758544;residential;;51.0682907;17.0934185
100758716;residential;;51.0669480;17.0300955
100758830;residential;;51.0575680;17.0589795
100758902;residential;;51.0603755;17.0295235
100758964;residential;;51.0580320;17.0221675
100759057;residential;;51.0677080;17.0366330
100822573;residential;;51.0754670;17.0341795
100823185;residential;;51.0747980;17.0444900
100823399;residential;;51.0701710;17.0326845
100823768;residential;;51.0715900;17.0335080
100823806;residential;;51.0752513;17.0461744
100824283;residential;;51.0740793;17.0820000
100824584;residential;;51.0765056;17.0359628
100824615;residential;;51.0704900;17.0390975
100825162;residential;;51.0754854;17.0815937
100825263;residential;;51.0732653;17.0843931
100825459;residential;;51.0786121;16.9642785
100825596;residential;;51.0714115;17.0004768
100825969;residential;;51.0789274;17.0596388
100825992;residential;;51.0794980;16.9721425
100826462;residential;;51.0704705;17.0388400
100826800;residential;;51.0764408;17.0364038
100827031;residential;;51.0753115;17.0341445
100827073;residential;;51.0731474;17.0844162
100827082;residential;;51.0788777;17.0596702
100827205;residential;;51.0793638;17.0126723
100827335;residential;;51.0750925;17.0444730
100827570;residential;;51.0708065;17.0332650
100827584;residential;;51.0752610;17.0445350
100827585;residential;;51.0740898;16.9654033
100827591;residential;;51.0707465;16.9815590
100827600;residential;;51.0793779;17.0593445
100827700;residential;;51.0781615;16.9711440
100827765;residential;;51.0753151;17.0815882
100827814;residential;;51.0704474;17.0357437
100828042;residential;;51.0742995;17.0444820
100828181;residential;;51.0708080;17.0498090
100828303;residential;;51.0756330;17.0382295
100828358;residential;;51.0757413;17.0839030
100828431;residential;;51.0742860;17.0826606
100828436;residential;;51.0705464;17.0903312
100828466;residential;;51.0738961;17.0455398
100828491;residential;;51.0747275;17.0360215
100828577;residential;;51.0740983;17.0842272
100828617;residential;;51.0742980;17.0461235
100828731;residential;;51.0791279;16.9675160
100828767;residential;;51.0744615;17.0467505
100829250;residential;;51.0741583;17.0832016
100829528;residential;;51.0758980;17.0461445
100829545;residential;;51.0731865;17.0827868
100829547;residential;;51.0739698;17.0842537
100829561;residential;;51.0742925;17.0449350
100829588;residential;;51.0755069;17.0839493
100829787;residential;;51.0759110;17.0940110
100830032;residential;;51.0753910;17.0839724
100830115;residential;;51.0754405;17.0445300
100830156;residential;;51.0733166;17.0328990
100830258;residential;;51.0749019;17.0825544
100830274;residential;;51.0703280;16.9825805
100830298;residential;;51.0759290;17.0943095
100830974;residential;;51.0786351;17.0009150
100830977;residential;;51.0756432;17.0824072
100831196;residential;;51.0753050;17.0375215
100831275;residential;;51.0749510;17.0445350
